lineNum,sentence1,sentence2,sentence3,sentence4,sentence5,sentence6,sentence7,sentence8,sentence9,sentence10
121,Also&#44; a member of the Palestinian authority&#44; Mahmood Abbas&#44; will be reaching Cairo on Friday.,My heart is broken&#44; give me back my kidney.,Dr. Richard Batista has said that eight years ago&#44; he gifted his wife Danelle with his kidney to save her life.,According to some press reports&#44; Dr. Batista has said that his wife repaid him for his gift by betraying him&#44; having relations with someone else&#44; and petitioning for divorce.,In an interview with a local paper&#44; Dr. Batista said that this situation has left him with a hole in his heart.,According to Dr. Richard Batista&#39;s lawyer&#44; he is asking for his kidney back&#44; but in reality is looking for monetary compensation for his kidney.,According to his wife&#44; they will be appearing before a judge in this matter&#44; in the next few days.,140 year old&#44; 9 kilo lobster Freed.,&quot;&quot;George the Giant Lobster&quot;&quot; was caught in the sea two weeks earlier.,A seafood company of the city had bought him for 100 dollars.
131,And immediately starting using the lobster as means of their advertisement.,But a group for animal rights&#44; &quot;&quot;Pita&quot;&quot;&#44; demanded the lobster&#39;s release and now he has been released in the sea again.,George was caught in a sea in Canada&#44; after which he spent ten days in the tank of &quot;&quot;City Crab and Seafood Company.&quot;&quot;,The age of a lobster can usually be determined by its weight.,According to the restaurant manager&#44; Keith Wallanty&#44; they did not mean any harm to the lobster&#44; and put him in the tank only to arouse curiosity amongst their customers.,According to a member of Pita&#44; Ingrid Newkirk&#44; the decision of the restaurant is admirable and is an example to those who only want to keep the animal in a tank or boil them and eat them.,Girl traced with the help of Mobile.,When officials came to know about Natali Maltrice&#44; firefighters and police force of Athol city of Massachusetts started the action.,Officials located the exact location of the girl with the help of GPS in her mobile.,However with the help of Google Street View she was found in a hotel.
141,A week earlier Natali&#39;s grandmother Rose Maltice took Natali with her from supervision of her legal parents.,The police chief of Athol Timothy Anderson told BBC&#44; she said that now she will never return Natali and then she left the state.,Police Contacted Mrs. Maltice&#44; but when he did not returned Natali despite of promise then police decided to find him with the help of Natali&#39;s cell.,Since 2005 it is in the law of America that Mobile companies have to provide location of callers 67 percent of callers at a distance of 100 meters and 95 percent of at 300 meters.,Hamid Karzai on India&#39;s tour,It is the 2nd tour of India by Hamid Karzai in last five months.,It is hoped that he will discuss the state of affairs after the terrorists attack on Mumbai while in meeting with Prime Minister Manmohan Singh.,During this tour he wishes to deliver emotions of Afghanistan and her people and express his unanimity with India.,During this tour of Karzai other then extremism bilateral trade will also be discussed.,Bilateral cooperation between the two for countering extremism is also hoped to be discussed.
151,During his last tour of India President Hamid Karzai said that extremism will not be allowed to hinder the relations of the two countries.,He also said that Both India and Afghanistan are facing the challenge of extremism&#44; ruthless and assassination activities.,Peace and solidarity in both the countries is beneficial for the area and the world as well.,We understand the fact that both countries and the whole world unanimously can eliminate the curse of terrorism.,It must be noted that Karzai had blamed Pakistani Secret agency ISI for attack on Indian Embassy in Kabul in July last year.,4 Indians and an officer of IFS were killed in this attack.,After the attack on Embassy during the Karzai&#39;s tour of India Manmohan Singh said that the attack was on the friendship of India and Afghanistan&#44; we have agreed that will not allow extremism to hinder our relations.,A special Judge has been nominated for hearing Mumbai attack.,The Mumbai police commissioner Hassan Ghafoor said that the extremists involved with the Mumbai attacks were arrested alive.The accused Ajmal Ameer is the only terrorist arrested with this case.,Also a special lawyer has been appointed on behalf of the accused for the case.
161,Ajmal is in the police custody currently and it is expected that the police may be filing a charge sheet against him before January 24.,The Ajmal asks for a lawyer to defend himself.,He has sent an appeal letter to the Pakistan government asking for legal Help.,It is said that evidences are available to say that Pakistani extremists has some relations with the attacks of Mumbai&#44; India.,Pakistan has accepted that Ajmal is a citizen of Pakistan.,According to the police case&#44; additional police commissioner Ashok&#44; Police Inspector Vijay and six more policemen were killed while Ajmal and his companion Abu Ismail were caught.,Ismail Khan died in the police action and police have arrested Ajmal alive.,A lawyer has not yet been nominated in the case on behalf of the Ajmal.,The Government has accepted to give the legal aid cell. The lawyer Danish palpable was nominated but he refused to take the case because of the moral grounds.,Lawyers from opposition political party have been protesting against this.
171,Translation of the first sentence goes here.,Translation of the second sentence goes here.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,The dismissal of journalists was protested.
181,On Tuesday&#44; the journalists in Islamabad went on a protest in front of the press club. Newspaper workers&#44; journalists of TV channels&#44; and the employees of newspapers and large number of the media owners raised the protest slogans.,Addressing the protestors&#44; the journalists of big newspapers in Federal Union of Journalists of Pakistan and senior members said that the politicians were protested today. The newspaper owners of small group were holding due to the fear on the rights of journalists.,He said that the Human Rights to the newspaper owners should be given to these organizations. The punishment and impressment camp of workers may lead to loss of billions of rupees in spite of the annual profits.,The example of this is that channel five&#44; a private TV at Lahore. A member commited suicide for not recieving salary and many workers today also forced over non-payment of salaries for months because of which they are spending their lives with tension.,He said that the TV and newspaper owners went on a permanent protest in front of parliament saying that steps should be taken for the rights of journalists.,Salman&#44; the governor of Punjab and solar energy criticised to an Urdu newspaper Today about the employees not given any notice.,Dozens of employees were also dismissed at The daily Jinnah&#44; Daily News Channel&#44; Plus Five&#44; Business TV and TV today.,The BJP and the secretary general of the demonstrators Mazhar Abbas said while addressing to the country today that his journalist organizations and journalists of the newspaper tied black bandages on their arms claiming the rights of journalists.,According to the Pakistan Mazhar Abbas 85 percent of workers at newspapers and TV channels are being exploited without any agreement at the place where he is working.,He said that so far&#44; more than 200 journalists and workers at newspapers and TV channels are being removed in the current year by the owners and feared that hundreds of more workers may be dismissed because of the economic crisis.
191,The movement Mazhar Abbas Attiya for journalists will continue until the dismissed employees are restored and the newspaper workers wages are determined by the seventh board. The implementation of the award by the TV channels&#44; and newspapers for the employees and the salary has been stopped for many months.,non Kabina has raised its voice,New kabinas prime minister Atique Ahmed Khan of Mukhalif Muslim conference which of Pakistani popular party&#44; Pakistan Muslim league and one of Khaimi movement person is involved.,In 11 members of Kabina one of is women whose name is Vazeer bee and she is connected to Atique Mukhalif group.,Leaders have confirmed that in Kabina if inspested weekly maximum twelve have been joined in Kabina In the beginning this month leader Atique khan have inspected it has been remove and leader yakhoob khan was appointed.,In Nizra was announced later.,On the eve of alaf bindari public party had raised slogans in favor of prime minister Benazir Bhutto.,The virus has affected 35 lakh consumers.,The first virus was identified on 8 October&#44; 2008 and was named later.,The criteria for sites to deal with the virus&#44; and a plot to take was developed. But nearly 35 million computers were affected by this.
201,Experts say that the computers affected may be even more than this.,For dealing with the consumers meeting the criteria for sites to the &#39;zero zero associate 2000 suture&#39; plight needs to be used.,The criteria for sites that has visits from hundreds or thousands of people to file using the virus &#39;services Cork E. E.&#39;&#44; should have a search and include a Code.,After this&#44; the virus in the enthusiastic leap XP system of an LLB will be in any of the file.,Is this virus in the name of this file creation.,Then the registration of XP details in the computer will change.,The virus after active comes into the machine and the server and accommodate a point to change.,After this&#44; the download of files from the Web site becomes slow.,Depending upon the criteria of sites in the world&#44; the virus affects the computers in different countries.,This includes countries like Brazil&#44; China&#44; Russia&#44; India&#44; the United States and Britain.
211,Delivery of The Indian Information.,After the meeting&#44; the Interior Ministry talked to the representatives of media on Saturday about India.,The issue of help for the investigation.,He said that Pakistan is an independent country from India&#44; and is not receiving any information by the investigation of the country.,Daily calls will not be accepted.,He said that in addition to the information recieved&#44; other informations are also given by India.,The interior minister said that atleast 124 members of the Peace team are feared to have been arrested under the law-enforcing the banned organization.,And if there is nothing against some people&#44; then the evidence of action against the innocent people will be released.,In response to a question&#44; he said that a person was arrested in connection with India and action will be taken according to the Pakistani laws.,He said that the action will be taken against the people of FIA under the law.
221,In response to a question&#44; he said that the Indian law enforcing agencies in Mumbai has given the information to the international community in 42 days and he hopes that the investigation will be for India and Pakistan at the same time.,The government has to offer again to repeat the investigation of Mumbai incident and a joint team should be formed.,It should be noted that a three-member team was formed from India for the Mumbai attacks under the leadership of additional director general of the FIA.,Pakistan is to investigate on the Information.,Pakistan&#39;s High Commissioner Shahid Malik met the President Asif Ali Zardari and has clarified that if any Pakistani individual or group was found to be involved in attacks of Mumbai then action will be taken in India and Pakistan.,Everything is possible in America,Mr Obama took the oath on 20th january as the fortieth president of America,Tomorrow there will be an address on the stairs of the Lincoln Memorial which has been built to honor the 16th President of the United States in Washington,Mr Obama said that America is facing one of the greatest challanges in its history &#44; but he was very hopeful that America will take control of all the problems,Abrahim Lincoln freed the nations from the shakles of slavery.
231,And with it Mr Obama said that our country is facing a lot of hardships and it will take some time to get out of them and it will be a tough way out.,But apart from this &#44; I am still hopeful that ideological founder of this nation the will remain alive,Other then Iraq and Afghanistan war&#44; America has also been facing extreme financial crisis,Special arrangements have been made for the oath taking cermony,According to management two million people are attending this gathering,Monday is a national holiday in America because on this day one of the greatest saviour of human rights&#44; Martin Luther King was being assisinated,Martin Luther King was black in race,Tribute to Martin Luther King&#44; Devoted to work,Dr. Martin Luther King was assassinated in 1968.,Barack Obama tributed Dr. King and asked Americans to work with united effort for fulfilling their promises.
241,In Washington preparations are taking place for the arrangements of unprecedented gathering of people for the new President oath ceremony on Tuesday.,Almost two million people are expected to gather to see this historical President Oath.,Barack Obama has started Monday by visiting a medical center in Northern Washington where he met wounded American soldiers afterwards he went to a shelter for homeless and painted a wall.,Talking to correspondents Barack Obama said: The current crisis we are having and the problems many people are facing&#44;in this situation we can&#39;t sit and relax.,He said that Martin Luther King has spent his life in serving people.,Barack Obama said that today when we are remembering him&#44; this is not the day to stay and think. It is the day to act.,He said that Tuesday&#39;s ceremony will be held on the same place where thousands of people gathered for Martin Luther King&#39;s &#39;I have a dream&#39; in 1963.,In this speech Martin Luther King said that the day will come when people will not be differentiated on the base of their color.,Mathew Price of BBC says that it is the tragedy of history that the day of Martin Luther is 24 hours earlier then the day when first black President of America will sworn in.,For many in southern states of America the Presidency of Barack Obama&#44; will be the interpretation of Martin Luther King&#39;s dream.
251,Additional Political agent raw,Additional political agent was kidnapped ten days ago from south Uzbekistan by some masked people.,resources indicates that the agent was kidnapped to Mulla nazeer groups residence,According to residential sources on Tuesday at 4 pm waziretan s additional political agent Amir Latif will be shifted to Jarge Scouts camp,But they did not revealed that they had kidnapped additional political agent,residential people told that political agent was kidnapped by local Taliban&#39;s,Amir Latif was kidnapped at a time when he was leaving for Tang from there.,On 11th January 2009 in South Uzbekistan Kahlbi region seven masked people kidnapped additional political agent with driver,According to resources first the kidnappers inspected the vehicle and then additional agent was taken in a vehicle and taken away,Due to kidnap of additional political agent security forces put a checking at all check points in south Uzbekistan and neen khabili areas and checked all the vehicles passing from there and from past one week police has restricted the area
261,on 8th December 2008 southern Uzbekistan s assistant political agent Azmatullah was also kidnapped at the same time when he was going for festival from meer ali to banu after few days in southern uzhbekistan with tashildaar amaanullah two people were killed by masked people.,British Hacker wins in court,42 years British citizen has admitted that he had hacked American Army website.,Gary is suffering from Asperger syndrome. Keep in mind that the patient of Asperger syndrome has insanity of doing similar tasks.,According to his lawyers&#44; it is feared he may attempt suicide if handed over to America .,All government attorneys says that there are very fewer doubts about Gary&#39;s health.,Lord Justice Moors and Mr. Justice Simon has said that Gary is permitted to file an application for reconsideration in the British court.,Gary&#39;s lawyers stated in the court that if Garry is kept away from his family and home&#44; he can commit suicide.,Further they said that Interior Secretary did not consider this issue.,But government&#39;s attorneys says that Interior Secretary had used his powers.
271,Gary has never denied of hacking American Army website.,Gary hacked American Computer Systems in 2001 and 2002 due to which American Government suffered a loss of 8&#44;00&#44;000 dollars.,Gary hacked 97 systems including American Naval and NASA.,However Gary says that they did not hack with wrong intentions&#44; rather they were looking for the information on aliens which they think were kept secret by American Government.,Gary&#39;s mother Jenes Sharp said that she is happy of the decision.,Gary&#39;s lawyer said it&#39;s a good decision.,This case is in the court since 2002 and at last a correct decision.,The commander of Kashmir: Two persons were killed,The Lieutenant Colonel of Indian army deployed in Jammu told BBC that Jammu and Kashmir police men has recieved information about 24 rashtria jantadal rifles in the authentical district&#44; gandwah Doda district and in the jungle of Haus.,He fired on the army and when the army was in action&#44; two armed extremist were killed.
281,The spokesman said that the extremists had killed two persons in the 12 years in the district of Hizbul where the Mujahideen has been active from 1960 in this district. The commander is also an expert in landmine blast.,It is suspected that Sajjad Hussain may be associated with it.,According to the bid&#44; the rural areas are still in an operation according to the extremists. Two Kalashnikov rifles were also recovered by the army in the first phase .,The head of the police for the province of Urdu urged yesterday to cooperate to make this year the most peaceful year.,It is worth mentioning that there has been no violence in the November and December during the assembly elections.,In these elections&#44; there has been more than 100 candidates.,Hizbul Mujahideen has made it clear that there has been no attack in the last 18 years in Jammu and Kashmir.,The opposition party announced in the year 2000 July for the first time after which&#44; the Government of India and opposition party had talks with commanders.,However&#44; it was only within 15 days when the ceasefire was finished.,Later&#44; Hizbul Mujahideen has killed many high commanders.
291,It was written in the famous newspaper &#39;Daily News&#39; of Pakistan on Thursday&#44; about the Pakistan extremists living in Kashmir and the groups of Hizbul Mujahideen Lashkar-e-Tayaba.,It should be kept in mind that now with the policy of two organizations the Kashmir issue can be resolved through the armed resistance.,Dera Bugti: Explosion on gas pipe line,According to police officials 18 inches diameter pipeline of Loti Gas Field to Pir Koh has been destroyed by explosion.,This pipeline is directed towards Sui Plant.,Moreover pretending himself as the interpreter of banned organization Baloch Republican Army has accepted the responsibility of the explosion on behalf of his organization on phone.,4th pipeline was exploded in four days.,An 18 inch diameter pipeline was destroyed in Dera Allah Yar on Friday whose mending was continued till Sunday morning.,General Manager of Sui Southern Gas Company Mushtaq Siddiqui told in Quetta that this supply line will be restarted after noon.,This pipeline arrives in Quetta via Sibbi.
301,There is intense scarcity of gas since 3 days in Quetta&#44; Ziarat and suburb areas where on one one hand snowfall is continued and temperature has dropped below freezing point and on the other hand heater and stoves are not working.,Further in the city of Dera Bugti a motorbike exploded in animal market but according to police no casualties.,Administrator for Jamat-al-qaeda,The head quaters of Jamat-al-qaeda is located 25 kilometers away from Central Tayiba LAHORE at Maridka,This central has hospitals&#44; schools and hostels for students,Rana sana-ullah khan the minister of law of Punjab said that the jamat-al-qaeda is underthe supervision for the placement because the present welfare work going on wil not get disturbed,As per the head of jamat-al-qaeda Hafeez sayeed&#39;s son -in-law Khaled Waleed&#44; hospital schools and welfare association is supervised by a government officer of law Babar&#44; who has been declared an administrator&#44; when even central have increased police open courts,For the safety of world alliance race&#44; jamat-al-qaeda has been put sanctions and after that Pakistan&#39;s federalize government has promised the whole country that actions against jamat-al-qaeda have been taken. Jamat&#39;s Hafeez sayeed&#39;s sameet&#44; and his various followers were put into house arrest. By the government of punjab&#44; its in possible to declare an administrator in the Markazey-tuaiba and as per federalize government those who can go against jamat-al-qaeda proceeding to continue,The law of Babar belongs to DMG that is Destarcut management group,Hafeez khalid said that the commissioner of lahore D.vizon khusroo parvez khan came to Markaz-e- tauiba with the police and civil admistration and inspected the Markaz.The governement has promised the central of jamat-al qaeda&#39;s khalid walid has suggested to give self condemnation by the government and said that because of the government rules they have loss there many of the patients from there hospitals and they loss many of there students from ther schools....
311,As per the jamat alqaeda &#44;according to one of press release that the head of the jamat hafez saeed has written a letter to the seceratory general of Aqwam-me-mutahda Ban-ki-mon and the commitee of taliban in that he had appealed to remove the sanctions by the safety counsil,In that letter he told that the decision taken by the safety counsil is one sided decision and which is unfair and jamat al qaeda has no links with the terrorism but they are involved with their charitable cause.,Translation of the first sentence goes here.,Translation of the second sentence goes here.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.
